step temp pe etotal press vol
# Fix print output for fix thermofile
0 400.00000000000011369 -958.1875 -948.72565738599996621 6741.2537901320529272 1809.9298793830914747
10 357.41220836578764875 -957.54620361328125 -949.09175845358311108 -2785.0725558562321567 1809.9298793830914747
20 370.92698689470529416 -957.6043701171875 -948.83023818898016088 7101.0166584061635149 1809.9298793830914747
30 382.04493560946866637 -957.77923583984375 -948.74211320931237879 -2630.8728281724129374 1809.9298793830914747
40 408.65133457466367872 -958.3802490234375 -948.71376249407114756 3716.3224175405052847 1809.9298793830914747
50 395.92410578098031237 -957.7607421875 -948.39531324752920227 -1876.3069178892690161 1809.9298793830914747
60 392.01092877002020032 -957.56536865234375 -948.29250437486905412 2815.5143443739748363 1809.9298793830914747
70 364.8358350348457293 -957.373779296875 -948.74373116925755767 2694.5181868933350415 1809.9298793830914747
80 369.42336438921182662 -957.3658447265625 -948.62728039709975292 -456.28780218588252637 1809.9298793830914747
90 364.75049723523795819 -956.92510986328125 -948.29708036773604363 6260.1633388031095819 1809.9298793830914747
100 365.79143165533298543 -957.34710693359375 -948.69445454391245676 -1450.9728216317857914 1809.9298793830914747
110 375.2179939254926353 -957.52606201171875 -948.6504280005591454 5333.3610914958908324 1809.9298793830914747
120 383.86615023138574543 -957.789306640625 -948.70910389479638525 -3087.6072467524231797 1809.9298793830914747
130 371.65303316635271358 -957.30474853515625 -948.5134422680669104 5498.7796003069533981 1809.9298793830914747
140 364.02796344056599764 -957.2945556640625 -948.68361742113859236 -647.30142807473669109 1809.9298793830914747
150 358.88522018778854772 -957.03839111328125 -948.54910243851225005 4405.8569708911454654 1809.9298793830914747
160 374.17080412780001097 -957.37322998046875 -948.52236683194109901 -613.69131710733063301 1809.9298793830914747
170 363.47584052293956347 -956.93939208984375 -948.3415140972952031 3571.6207708884112435 1809.9298793830914747
180 377.60294908043056239 -957.120361328125 -948.18831214117176387 2746.779177700416767 1809.9298793830914747
190 363.05799177994481397 -956.71832275390625 -948.13032880896435017 1684.3930900028392443 1809.9298793830914747
200 399.73426693376285357 -957.1561279296875 -947.70057112681263334 3170.9645373289731651 1809.9298793830914747
210 405.14130858390257117 -957.02996826171875 -947.44651001609156538 -1232.2036388423236986 1809.9298793830914747
220 399.73785701187830455 -957.0487060546875 -947.5930643299274152 6013.3663604975681665 1809.9298793830914747
230 376.23969063130550694 -956.5477294921875 -947.64792764745379827 683.52058757700183378 1809.9298793830914747
240 398.11019039229705641 -956.72698974609375 -947.30984983479004313 2422.2858903429660131 1809.9298793830914747
250 369.2726939873123797 -956.46014404296875 -947.72514376257936419 1204.0650920496557319 1809.9298793830914747
260 357.70583312936679476 -956.4033203125 -947.94192957455049964 2577.3426244725010292 1809.9298793830914747
270 343.8403842632596934 -956.11175537109375 -947.97834637050311812 3145.4650243622968446 1809.9298793830914747
280 352.45321541414233479 -956.5089111328125 -948.17176900019535424 401.66340854077651557 1809.9298793830914747
290 371.64531034849102298 -956.62200927734375 -947.83088569047220062 421.43489788871994506 1809.9298793830914747
300 367.50392626883439107 -956.7281494140625 -948.03498863810557395 -176.91289802422269872 1809.9298793830914747
310 356.32301051551502269 -956.51593017578125 -948.0872495626700811 -439.47071769722941781 1809.9298793830914747
320 373.88794344398769454 -957.15325927734375 -948.30908708699587351 29.278881828692330913 1809.9298793830914747
330 394.3606602773691634 -957.552001953125 -948.22355570138097391 -5779.9294257583806029 1809.9298793830914747
340 402.48754481349806156 -957.592529296875 -948.07184478907356606 887.03973032884437089 1809.9298793830914747
350 378.18249881511508192 -956.74737548828125 -947.8016172803866084 -3228.7323003813248761 1809.9298793830914747
360 378.36823134368444244 -956.8433837890625 -947.89323215128376887 945.07522729230981895 1809.9298793830914747
370 361.41775655350261331 -956.97821044921875 -948.4290156231832043 -1735.5737550857838869 1809.9298793830914747
380 370.73594031381253444 -956.85626220703125 -948.08664941052472841 -778.88405284290740838 1809.9298793830914747
