step temp pe etotal press vol
# Fix print output for fix thermofile
0 300 -1889.5172119140625 -1874.6652212535625495 743423.80310014204588 1196.3004466733455047
50 184.55544435301263206 -1880.947509765625 -1871.8107906460404593 834149.01734488131478 1196.3004466733455047
100 229.9159700928234713 -1880.377197265625 -1868.9948311305636253 805897.55650879535824 1196.3004466733455047
150 239.77046608362562097 -1877.6209716796875 -1865.7507426032284457 823479.56764390738681 1196.3004466733455047
200 260.58677602681507324 -1877.410400390625 -1864.5096258446246793 808490.09338165877853 1196.3004466733455047
250 263.03577820668289178 -1877.5904541015625 -1864.568437697219224 812094.57073538831901 1196.3004466733455047
300 247.16191341187476382 -1875.9715576171875 -1863.7354028517725055 816738.32847622316331 1196.3004466733455047
350 281.64491426844580246 -1876.59521484375 -1862.6519227227756801 826746.31803278892767 1196.3004466733455047
400 306.02729402637669409 -1877.29248046875 -1862.1420987596238774 813692.24360239959788 1196.3004466733455047
450 281.89790762760401321 -1876.0169677734375 -1862.061150802438533 819135.92712900659535 1196.3004466733455047
500 304.57284658671881061 -1876.2705078125 -1861.1921309026738527 816012.20434325945098 1196.3004466733455047
550 306.20814854350078349 -1875.5950927734375 -1860.4357575656472363 826566.19205305399373 1196.3004466733455047
600 345.46464299524808439 -1876.10986328125 -1859.0070711102553105 826228.21771074284334 1196.3004466733455047
650 354.40061796250228099 -1876.838134765625 -1859.2929525387767171 822531.04635215841699 1196.3004466733455047
700 319.67860891182533578 -1874.8057861328125 -1858.9795737530789665 824612.78776650549844 1196.3004466733455047
750 299.92048140123148414 -1874.114501953125 -1859.2664479909124111 819738.47659054468386 1196.3004466733455047
800 293.49207712859112007 -1872.958740234375 -1858.4289349395596673 827322.41117863496765 1196.3004466733455047
850 319.39490705624461953 -1874.4139404296875 -1858.6017731743188506 817812.28815235628281 1196.3004466733455047
900 305.20292847198078334 -1874.388671875 -1859.2791017309230028 821407.51342383446172 1196.3004466733455047
950 330.59426902516082691 -1875.127197265625 -1858.7605872790365993 817197.68981543928385 1196.3004466733455047
1000 339.74895631721727796 -1875.1519775390625 -1858.3321497852693938 832353.48241404455621 1196.3004466733455047
1050 320.36483867043142482 -1874.0528564453125 -1858.1926711390262881 836225.35674984380603 1196.3004466733455047
1100 352.20043778963281511 -1875.2149658203125 -1857.7787071113937145 821982.32776196009945 1196.3004466733455047
1150 328.80432013944511027 -1874.9891357421875 -1858.7111401027104876 830799.77414841286372 1196.3004466733455047
1200 323.99909417454324512 -1874.880615234375 -1858.8405101654057034 832449.47713342448696 1196.3004466733455047
1250 332.77319490677513159 -1874.626953125 -1858.1524718489326915 826730.54181888198946 1196.3004466733455047
1300 314.23252273849584526 -1873.5277099609375 -1857.9711149844790725 822560.85453446500469 1196.3004466733455047
1350 324.29792724190798481 -1874.0380859375 -1857.983186648778883 822361.33193598571233 1196.3004466733455047
1400 313.20488783783133613 -1873.1275634765625 -1857.6218432465943806 835103.94982158765197 1196.3004466733455047
1450 341.90492974643927937 -1874.37109375 -1857.4445310054231868 823597.30310766631737 1196.3004466733455047
1500 327.28731500355905837 -1872.6357421875 -1856.4328483683900686 845224.81292732781731 1196.3004466733455047
1550 343.27495532913025045 -1872.56005859375 -1855.5656704919772437 827781.73689785448369 1196.3004466733455047
1600 336.2906449822058903 -1871.243896484375 -1854.59527808941084 823832.9221609357046 1196.3004466733455047
1650 346.71067399943461851 -1872.607177734375 -1855.4426987605907016 822281.65185527410358 1196.3004466733455047
1700 344.92161592914260382 -1872.620849609375 -1855.5449408814276921 826878.26693769544363 1196.3004466733455047
1750 356.20773684771819489 -1873.03759765625 -1855.4029510533828216 830560.39650986273773 1196.3004466733455047
1800 353.42558154723889174 -1873.0062255859375 -1855.5093141315328467 835554.47195419739 1196.3004466733455047
1850 354.92187146558410404 -1874.00439453125 -1856.4334067972031335 827159.29225776903331 1196.3004466733455047
1900 362.86392186630871493 -1874.5230712890625 -1856.5588993604264942 832235.38759636471514 1196.3004466733455047
1950 341.42718466303142577 -1873.2689208984375 -1856.3660097055835649 833534.81689000548795 1196.3004466733455047
2000 336.58798250643957317 -1873.115478515625 -1856.4521399402176485 828848.3776356971357 1196.3004466733455047
2050 340.5035419399915213 -1873.577392578125 -1856.7202078289251403 833665.75912857870571 1196.3004466733455047
2100 349.46561757144684179 -1873.7750244140625 -1856.4741574529391528 814925.06583556218538 1196.3004466733455047
2150 328.41007687332000842 -1872.45263671875 -1856.1941587369612989 830446.84759867261164 1196.3004466733455047
2200 358.99227196928302419 -1872.7520751953125 -1854.9795756270475522 829582.8646864304319 1196.3004466733455047
2250 371.84072881232560803 -1872.4002685546875 -1853.9916851163068259 830875.3891022860771 1196.3004466733455047
2300 369.75915988028913262 -1873.5013427734375 -1855.1958108095161606 825627.85348987265024 1196.3004466733455047
2350 370.57417570226340331 -1873.155517578125 -1854.8096369229499487 829620.86292297020555 1196.3004466733455047
2400 335.52052304378184999 -1872.5614013671875 -1855.950909118346317 830600.51893624395598 1196.3004466733455047
2450 365.27418873938034949 -1873.2174072265625 -1855.1339110942992647 825665.32798350509256 1196.3004466733455047
2500 349.49815633450657515 -1872.6182861328125 -1855.315808287005666 827995.53509197384119 1196.3004466733455047
2550 353.80411928170093461 -1872.896728515625 -1855.3810769315641664 838423.84130440512672 1196.3004466733455047
2600 355.23609549560939058 -1872.4813232421875 -1854.8947793336099039 831625.93649190210272 1196.3004466733455047
2650 369.03172380121816332 -1872.8150634765625 -1854.5455444254828308 825544.3920293651754 1196.3004466733455047
2700 371.68272352175819151 -1874.034912109375 -1855.6341509813271387 826092.24781056761276 1196.3004466733455047
2750 371.19998662322456084 -1873.046142578125 -1854.6692801297722326 847987.57663322251756 1196.3004466733455047
2800 372.82299570371031905 -1872.6331787109375 -1854.1759665435670286 830629.98230813990813 1196.3004466733455047
2850 356.50013126690225818 -1872.2236328125 -1854.5745107456898495 836563.36045255407225 1196.3004466733455047
2900 360.95347082868818234 -1872.101318359375 -1854.2317264339658323 831188.39163269253913 1196.3004466733455047
2950 345.80681103793097009 -1872.242919921875 -1855.1231881622995843 833235.84968545241281 1196.3004466733455047
3000 369.83826798089580734 -1872.6533203125 -1854.343871972674151 832548.65419288841076 1196.3004466733455047
3050 362.18388660947164226 -1871.90234375 -1853.9718380789752246 837863.57365353347268 1196.3004466733455047
3100 380.34543440730544717 -1871.970458984375 -1853.1408361857713771 827841.38118005439173 1196.3004466733455047
