step temp pe etotal press vol
# Fix print output for fix thermofile
0 3000.0000000000022737 -1889.5172119140625 -1740.9973053090623125 862769.29267498664558 1196.3004466733455047
50 1720.5703552599334216 -1794.6805419921875 -1709.5008925020085826 1104717.9701572447084 1196.3004466733455047
100 1908.5833059095041335 -1775.166015625 -1680.6784775111527779 1076366.8247285252437 1196.3004466733455047
150 2219.8928728071887235 -1756.50732421875 -1646.6078968379404159 1111029.468666218454 1196.3004466733455047
200 2592.7316434516078516 -1759.522705078125 -1631.1652845657047237 1131849.9497615599539 1196.3004466733455047
250 2436.8536350130038954 -1748.1607666015625 -1627.5203418408336802 1158085.8984058985952 1196.3004466733455047
300 2590.3387795865423868 -1744.939453125 -1616.700495251832308 1138615.572003724752 1196.3004466733455047
350 2701.0099448450241653 -1738.1876220703125 -1604.4697071544594564 1162048.3101417957805 1196.3004466733455047
400 2813.8279902925264651 -1735.115966796875 -1595.8128100232813722 1204245.3467361514922 1196.3004466733455047
450 2869.0064244581290041 -1738.1495361328125 -1596.1146807295904182 1158546.4299387843348 1196.3004466733455047
500 2729.073586114405316 -1718.3255615234375 -1583.2183101474761315 1219709.4881325378083 1196.3004466733455047
550 2847.4862986977391301 -1717.4171142578125 -1576.4476478772774044 1199886.204740884481 1196.3004466733455047
600 2847.6804782238882581 -1700.9649658203125 -1559.9858862647479327 1260106.3510724501684 1196.3004466733455047
650 2691.9412172366528466 -1688.7607421875 -1555.4917894641207567 1251321.6181949402671 1196.3004466733455047
700 2943.7105383169337074 -1692.0726318359375 -1546.3394270949424936 1228458.6574941580184 1196.3004466733455047
750 2923.8018111356859663 -1691.53564453125 -1546.7880538907827486 1210353.3469795517158 1196.3004466733455047
800 2988.3435150281229653 -1686.8966064453125 -1538.953773193434472 1247166.6178089322057 1196.3004466733455047
850 2833.8469772691246362 -1679.2515869140625 -1538.9573574484384153 1288175.4214806025848 1196.3004466733455047
900 2895.8434997155136443 -1685.529296875 -1542.1658281681852714 1248522.6615515695885 1196.3004466733455047
