step temp pe etotal press vol
# Fix print output for fix thermofile
0 400.00000000000005684 -1007.74835205078125 -997.87287697278122778 6321.6696090170007665 1964.7040162035737012
10 359.456730975867913 -1006.802001953125 -997.9274869821961147 80.928937483822579679 1964.7040162035737012
20 355.9275906192493153 -1006.5989990234375 -997.81161389660508121 11467.359867234074045 1964.7040162035737012
30 349.46633446883123497 -1006.388671875 -997.76080668338261148 -1822.8953292996141045 1964.7040162035737012
40 379.92913161466776728 -1006.82012939453125 -997.44017771786411686 12465.585677820505225 1964.7040162035737012
50 377.68102806263522098 -1006.50531005859375 -997.18086110842887138 -4099.7472678624471882 1964.7040162035737012
60 378.63935597742397476 -1006.89764404296875 -997.54953523420624606 13331.726821519550867 1964.7040162035737012
70 361.23979367444235322 -1006.33404541015625 -997.41550896112175906 -3437.5995109993373262 1964.7040162035737012
80 348.152012962539402 -1006.33837890625 -997.74296258783226676 12230.598133329829579 1964.7040162035737012
90 369.60804517672863767 -1006.42730712890625 -997.30216953197850671 -1369.9769266623984549 1964.7040162035737012
100 392.66886102669764114 -1007.0115966796875 -997.31711780224804897 7853.1026956023615639 1964.7040162035737012
110 372.86507017987804602 -1006.45953369140625 -997.25398442136099675 821.10056055438883504 1964.7040162035737012
120 354.6480843728067498 -1006.25396728515625 -997.49817148844601888 9338.6653382009099005 1964.7040162035737012
130 366.8281850840584184 -1006.36175537109375 -997.30524887182980365 -142.41548697760990194 1964.7040162035737012
140 379.98093329810660634 -1006.5076904296875 -997.12645983743595934 7800.5256820764170698 1964.7040162035737012
150 390.37490106066877615 -1006.7962646484375 -997.15842063218417479 1399.7010707180697864 1964.7040162035737012
160 390.9829563248202362 -1006.795166015625 -997.1423099128536478 5864.1477254568735589 1964.7040162035737012
170 401.01266430311608246 -1007.255126953125 -997.35465052240544992 521.94572517234212228 1964.7040162035737012
180 381.79703137355954823 -1006.8250732421875 -997.3990055717275709 4835.6870736995688276 1964.7040162035737012
190 394.26819674155291295 -1006.857177734375 -997.12321335695196467 3503.8974320079232712 1964.7040162035737012
200 375.13299612169350894 -1006.7783203125 -997.51677892716190854 2929.4800441426064026 1964.7040162035737012
210 397.32984939023896231 -1007.3101806640625 -997.50062810056545004 3756.2581352798210901 1964.7040162035737012
220 370.40487497937652961 -1006.5296630859375 -997.38485280686620627 628.66129605318508311 1964.7040162035737012
230 368.77737981761504216 -1006.520751953125 -997.41612239382754979 7688.6055492095983936 1964.7040162035737012
240 354.09185941608348003 -1006.30377197265625 -997.56170864019077271 -1858.3191811404894906 1964.7040162035737012
250 403.38871134362608473 -1007.41815185546875 -997.45901394141742458 7944.9968208993968801 1964.7040162035737012
260 364.21210264325304706 -1006.8834228515625 -997.89150399466393537 -4515.7448641664423121 1964.7040162035737012
270 375.01513288469908503 -1006.81658935546875 -997.55795785877944581 8910.068848528448143 1964.7040162035737012
280 335.2599429577089154 -1005.9326171875 -997.65548915917361228 -3442.5039477583363805 1964.7040162035737012
290 351.3746563364721851 -1006.28790283203125 -997.61292367780208679 9193.5227085925416759 1964.7040162035737012
300 348.44262051891780629 -1005.94244384765625 -997.33985281003731416 -4399.3007144594585043 1964.7040162035737012
310 364.02095013245883592 -1006.52008056640625 -997.53288101414875655 7238.6126664735838858 1964.7040162035737012
320 357.07422196142442772 -1006.31988525390625 -997.50419130396551282 -2756.2806539802122643 1964.7040162035737012
330 381.56365260919818638 -1006.72113037109375 -997.30082451606176619 6412.2406622135749785 1964.7040162035737012
340 357.37087001049349055 -1006.255615234375 -997.43259743339547185 -3656.6130472457589349 1964.7040162035737012
350 361.20422139065703959 -1006.4620361328125 -997.54437791678287795 7215.7170491464703446 1964.7040162035737012
360 348.75905108494436035 -1006.1361083984375 -997.52570510539680981 -2415.5105416972628518 1964.7040162035737012
370 365.08258136871774013 -1006.2523193359375 -997.23890950164081914 5920.8499853322855415 1964.7040162035737012
380 341.35771839066865141 -1005.4395751953125 -997.01190109368747017 -1301.2670601821928358 1964.7040162035737012
390 350.01223536844872797 -1005.3109130859375 -996.66957031749700491 6548.2459968504581411 1964.7040162035737012
400 344.41940865854547837 -1005.1143798828125 -996.6111166663450831 -0.71795884609275351096 1964.7040162035737012
410 371.58967639769133484 -1006.04681396484375 -996.87275249357503526 2383.1210218810847437 1964.7040162035737012
420 352.76620500714739137 -1005.4344482421875 -996.72511357741564098 -289.17258057311317998 1964.7040162035737012
430 362.32058674651824504 -1005.49200439453125 -996.54678458287730791 1732.913337408117286 1964.7040162035737012
440 315.37035257897963447 -1004.5587158203125 -996.77263567722798143 3002.0979856083613413 1964.7040162035737012
450 367.78159759773336646 -1005.68585205078125 -996.605807047722692 73.470797759232254975 1964.7040162035737012
460 363.96345860862106747 -1005.349853515625 -996.36407335364469873 694.20076526858588295 1964.7040162035737012
470 388.88148717177784874 -1006.2828369140625 -996.68186332691129792 -476.53934857685214865 1964.7040162035737012
480 363.45665065677945904 -1005.491943359375 -996.518675620639101 1208.0799947462826367 1964.7040162035737012
490 401.26497337704279289 -1006.08953857421875 -996.18283296357049039 -1123.8580590668925652 1964.7040162035737012
500 363.39794093554070287 -1005.4188232421875 -996.4470049694239151 1242.1613664747251278 1964.7040162035737012
510 383.95317730240805076 -1006.037353515625 -996.55805343170288779 -707.93473470416643067 1964.7040162035737012
520 380.94665553806208891 -1005.77642822265625 -996.37135521562231588 1458.6688634191261826 1964.7040162035737012
530 387.95017234433447584 -1006.0128173828125 -996.43483673658181488 238.20596708462261404 1964.7040162035737012
540 371.32413792952525 -1004.8984375 -995.7309318250428305 285.88742976517227135 1964.7040162035737012
550 380.13034808664338016 -1005.1971435546875 -995.81222410738473627 4165.7860689494291364 1964.7040162035737012
560 367.89949520221978219 -1004.9564208984375 -995.87346515824174276 -558.25074348230759824 1964.7040162035737012
570 396.41495170142349025 -1005.49932861328125 -995.71236367309631987 3908.2201856291462718 1964.7040162035737012
580 366.96131425705448237 -1004.8704833984375 -995.81069011459828744 -620.66605859099672671 1964.7040162035737012
590 392.54982821969599627 -1005.2017822265625 -995.51024211292053678 4444.7928519678325756 1964.7040162035737012
600 395.64848056304975898 -1005.21234130859375 -995.44429953497137831 332.94696073894016308 1964.7040162035737012
610 394.48217957963595381 -1005.06610107421875 -995.3268537413341619 1930.3758470623749872 1964.7040162035737012
620 394.50211237036535294 -1004.80352783203125 -995.06378838470152459 3008.786617591536924 1964.7040162035737012
630 385.66687806054648036 -1004.4349365234375 -994.91332741669498319 2182.6240150591502243 1964.7040162035737012
